participant,choiceTest_devaluationRatio,Bug
sub-86,0.329317269,fastMouseCodeBug
sub-87,1,fastMouseCodeBug
sub-88,0.981343284,fastMouseCodeBug
sub-89,1,SlowMouseCodeBug
sub-9,0.351648352,SlowMouseCodeBug
sub-90,0.575757576,SlowMouseCodeBug
sub-91,0.892857143,SlowMouseCodeBug
sub-92,0.419444444,SlowMouseCodeBug
sub-93,0.479820628,SlowMouseCodeBug
sub-94,1,SlowMouseCodeBug
sub-95,0.547619048,SlowMouseCodeBug
sub-96,1,SlowMouseCodeBug
sub-97,0.480916031,SlowMouseCodeBug
sub-98,0.652421652,SlowMouseCodeBug
sub-99,0.672473868,SlowMouseCodeBug
