list,trial_num_python,condition,stimulus,position,corrResp,coin_img,devalued_coin,stimulus_choice1,stimulus_choice2,position1,position2,phase,corrResp1,corrResp2,outcome,cond_val,outcome_choice1,outcome_choice2,cond_val1,cond_val2,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,run,event,duration,globalClock_t,routineClock_t,trial,nResp_untilRnf,resp,selected_coin,wasRnf,participant,task_ordering,hand,date,expName,n_repeat_training,credits_per_rnf,cost_response,min_resp_bet_rnf,max_resp_bet_rnf,mean_resp_bet_rnf,sigma_resp_bet_rnf,min_ITI,max_ITI,min_trial_duration,max_trial_duration,schedule,frameRate
9,0,resp1,stim/right_resp_img.png,"[-0.5, 0]",right,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0,training_resp,,16.7784030776238,10.7643984906608,0.0,,right,silver,0.0,73,2,right,2022_Feb_25_1240,habits_v_MRI,5,40,1,5,30,15,5,15,30,30,60,RR,60.0789107741187
9,0,resp1,stim/right_resp_img.png,"[-0.5, 0]",right,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0,training_resp,,17.4622927148594,11.4482802101411,0.0,,right,silver,0.0,73,2,right,2022_Feb_25_1240,habits_v_MRI,5,40,1,5,30,15,5,15,30,30,60,RR,60.0789107741187
9,0,resp1,stim/right_resp_img.png,"[-0.5, 0]",right,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0,training_resp,,18.4289232827723,12.41489083739,0.0,,right,silver,0.0,73,2,right,2022_Feb_25_1240,habits_v_MRI,5,40,1,5,30,15,5,15,30,30,60,RR,60.0789107741187
9,0,resp1,stim/right_resp_img.png,"[-0.5, 0]",right,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0,training_resp,,19.2788686068961,13.2648481846554,0.0,,right,silver,0.0,73,2,right,2022_Feb_25_1240,habits_v_MRI,5,40,1,5,30,15,5,15,30,30,60,RR,60.0789107741187
9,0,resp1,stim/right_resp_img.png,"[-0.5, 0]",right,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0,training_resp,,20.0121260479791,13.9980845119571,0.0,,right,silver,0.0,73,2,right,2022_Feb_25_1240,habits_v_MRI,5,40,1,5,30,15,5,15,30,30,60,RR,60.0789107741187
9,0,resp1,stim/right_resp_img.png,"[-0.5, 0]",right,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0,training_resp,,20.7120949932141,14.6980387946824,0.0,,right,silver,0.0,73,2,right,2022_Feb_25_1240,habits_v_MRI,5,40,1,5,30,15,5,15,30,30,60,RR,60.0789107741187
9,0,resp1,stim/right_resp_img.png,"[-0.5, 0]",right,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0,training_resp,,21.4289317869116,15.4146943619708,0.0,,right,silver,0.0,73,2,right,2022_Feb_25_1240,habits_v_MRI,5,40,1,5,30,15,5,15,30,30,60,RR,60.0789107741187
9,0,resp1,stim/right_resp_img.png,"[-0.5, 0]",right,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0,training_resp,,22.1953000163194,16.1812886847183,0.0,,right,silver,0.0,73,2,right,2022_Feb_25_1240,habits_v_MRI,5,40,1,5,30,15,5,15,30,30,60,RR,60.0789107741187
9,0,resp1,stim/right_resp_img.png,"[-0.5, 0]",right,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0,training_resp,,22.8787447981304,16.8646211529849,0.0,,right,silver,0.0,73,2,right,2022_Feb_25_1240,habits_v_MRI,5,40,1,5,30,15,5,15,30,30,60,RR,60.0789107741187
9,0,resp1,stim/right_resp_img.png,"[-0.5, 0]",right,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0,training_resp,,23.461894778884,17.4478840337833,0.0,,right,silver,0.0,73,2,right,2022_Feb_25_1240,habits_v_MRI,5,40,1,5,30,15,5,15,30,30,60,RR,60.0789107741187
