sub,age,gender
5001,46,Female
5002,35,Male
5003,52,Female
5004,28,Female
5005,24,Male
5006,46,Male
5007,34,Male
5008,58,Female
5009,45,Male
5010,55,Female
5011,22,Male
5012,31,Female
5013,56,Male
5014,46,Female
5015,43,Female
5016,27,Male
5017,31,Male
5018,26,Male
5019,53,Female
5020,33,Female
5021,51,Male
5022,41,Female
5023,29,Male
5024,37,Female
5025,23,Female
5026,26,Male
5027,27,Male
5028,75,Male
5029,22,Male
5030,36,Female
5031,43,Female
5032,30,Male
5033,31,Female
5034,30,Male
5035,32,Male
5036,27,Male
5037,29,Female
5038,33,Male
5039,31,Male
5040,36,Female
5041,33,Female
5042,46,Female
5043,24,Male
5044,54,Female
5045,50,Male
5046,48,Male
5047,22,Female
5048,45,Female
5049,34,Male
5050,32,Female
5051,25,Female
5052,32,Female
5053,41,Male
5054,47,Female
5055,38,Female
5056,40,Male
5057,34,Male
5058,26,Male
5059,24,Female
5060,35,Female
5061,52,Female
5062,32,Female
5063,54,Male
5064,33,Male
5065,31,Male
5066,52,Male
5067,24,Male
5068,36,Male
5069,55,Female
5070,37,Male
5071,28,Female
5072,31,Female
5073,68,Male
5074,50,Female
5075,29,Male
5076,51,Female
5077,34,Female
5078,55,Male
5079,31,Female
5080,55,Female
5081,25,Male
5082,52,Female
5083,36,Female
5084,37,Female
5085,21,Female
5086,30,Male
5087,23,Female
5088,31,Male
5089,29,Male
5090,20,Male
5091,45,Male
5092,34,Female
5093,37,Male
5094,49,Female
5095,80,Male
5096,27,Female
5097,36,Female
5098,29,Male
5099,53,Female
5100,38,Male
5101,51,Male
5102,35,Male
5103,64,Female
5104,31,Male
5105,27,Male
5106,22,Female
5107,36,Male
5108,37,Male
5109,33,Female
5110,38,Male
5111,35,Male
5112,22,Female
5113,36,Male
5114,45,Female
5115,36,Female
5116,34,Female
5117,38,Male
5118,24,Female
5119,34,Female
5120,50,Female
5121,28,Male
5122,20,Female
5123,42,Female
5124,35,Female
5125,35,Male
5126,45,Male
5127,42,Female
5128,54,Female
5129,25,Male
5130,49,Male
5131,33,Female
5132,52,Female
5133,29,Male
5134,31,Male
5135,45,Male
5136,54,Female
5137,50,Female
5138,45,Female
5139,28,Female
5140,68,Male
5141,38,Male
5142,29,Male
5143,56,Male
5144,34,Male
5145,44,Female
5146,42,Male
5147,44,Female
5148,22,Female
5149,64,Female
5150,32,Female
5151,27,Female
5152,25,Female
5153,33,Male
5154,48,Female
5155,26,Male
5156,54,Male
5157,36,Female
5158,27,Male
5159,46,Female
5160,34,Male
5161,29,Female
5162,25,Female
5163,31,Male
5164,33,Female
5165,33,Female
5166,25,Male
5167,40,Female
5168,56,Male
5169,22,Female
5170,31,Female
5171,48,Female
5172,30,Female
5173,26,Female
5174,28,Male
5175,50,Female
5176,45,Female
5177,25,Female
5178,41,Male
5179,40,Female
5180,21,Male
5181,42,Female
5182,30,Male
5183,39,Female
5184,48,Female
5185,36,Male
5186,28,Male
5187,33,Male
5188,61,Male
5189,43,Female
5190,19,Female
5191,60,Male
5192,70,Female
5193,20,Female
5194,40,Male
5195,28,Male
5196,30,Male
5197,36,Female
5198,27,Female
5199,34,Male
5200,29,Male
5201,45,Male
5202,49,Female
5203,21,Female
5204,39,Female
5205,29,Female
5206,35,Male
5207,80,Male
5208,59,Female
5209,33,Male
5210,76,Female
5211,38,Male
5212,36,Female
5213,43,Male
5214,47,Female
5215,34,Male
5216,53,Male
5217,42,Female
5218,30,Male
5219,47,Male
5220,19,Female
5221,28,Female
5222,24,Male
5223,24,Female
5224,26,Male
5225,38,Male
5226,29,Female
5227,35,Male
5228,27,Male
5229,24,Female
5230,29,Female
5231,57,Female
5232,32,Female
5233,32,Male
5234,58,Male
5235,50,Male
5236,65,Female
5237,25,Male
5238,61,Male
5239,24,Male
5240,39,Female
5241,41,Male
5242,41,Male
5243,36,Male
5244,28,Male
5245,37,Male
5246,63,Female
5247,34,Male
5248,53,Female
5249,38,Female
5250,31,Male
5251,38,Male
5252,34,Male
5253,34,Male
5254,34,Female
5255,33,Male
5256,69,Female
5257,23,Female
5258,60,Female
5259,35,Female
5260,26,Female
5261,46,Female
5262,46,Female
5263,33,Male
5264,55,Male
5265,43,Female
5266,35,Female
5267,30,Male
5268,24,Male
5269,29,Female
5270,56,Male
5271,47,Male
5272,39,Male
5273,31,Male
5274,30,Male
5275,24,Female
5276,35,Female
5277,67,Female
5278,25,Male
5279,33,Female
5280,56,Male
5281,39,Male
5282,29,Male
5283,25,Female
5284,57,Female
5285,38,Male
5286,29,Male
5287,40,Male
5288,34,Male
5289,38,Male
5290,54,Male
5291,50,Female
5292,34,Male
5293,32,Male
5294,20,Female
5295,44,Female
5296,54,Male
5297,23,Female
5298,19,Female
5299,35,Female
5300,38,Female
5301,47,Female
5302,56,Female
